Country Name,Country Code,Series,Per_1980,Per_1985,Per_1990,Per_1995,Per_2000,Per_2005,Per_2010,Latitude,Longitude
Afghanistan,AFG,Percentage of female population age 15+ with no education,94.59,92.84,91.02,89.25,85.29,84.43,78.24,33.7680065,66.2385139
Albania,ALB,Percentage of female population age 15+ with no education,27.78,16.4,12.29,15.97,1.71,3.07,4.39,41.000028,19.9999619
Bahrain,BHR,Percentage of female population age 15+ with no education,49.6,44.09,36.02,31.38,27.44,30.03,30.87,26.1551249,50.5344606
Belgium,BEL,Percentage of female population age 15+ with no education,2.97,4.57,4.83,4.78,4.4,4.95,5.06,50.6402809,4.6667145
Australia,AUS,Percentage of female population age 15+ with no education,0.9,1.23,1.26,1.55,1.21,1.04,0.8,-24.7761086,134.755
Brazil,BRA,Percentage of female population age 15+ with no education,28.6,23.91,20.01,16.79,14.9,12.3,9.46,-10.3333333,-53.2
Canada,CAN,Percentage of female population age 15+ with no education,1.72,1.12,0.95,1.03,1,0.84,0.7,61.0666922,-107.991707
China,CHN,Percentage of female population age 15+ with no education,28.26,22.92,19.55,17.43,16.19,11.64,7.9,35.000074,104.999927
Colombia,COL,Percentage of female population age 15+ with no education,16.63,13.88,12.21,11.94,9.67,7.47,6.18,4.099917,-72.9088133
Croatia,HRV,Percentage of female population age 15+ with no education,17.29,14.63,12.45,9.24,6.82,4.66,2.74,45.3658443,15.6575209
Cuba,CUB,Percentage of female population age 15+ with no education,2.9,6.91,9.11,11.1,13.21,10.28,8.48,23.0131338,-80.8328748
Denmark,DNK,Percentage of female population age 15+ with no education,1.99,2.32,0.11,0.12,1.26,2.33,2.88,55.670249,10.3333283
Dominican Republic,DOM,Percentage of female population age 15+ with no education,24.77,18.56,12.02,5.95,0.14,4.76,8.26,19.0974031,-70.3028026
Egypt,EGY,Percentage of female population age 15+ with no education,79.01,69.54,64,56.72,49,43.38,38.25,26.2540493,29.2675469
Estonia,EST,Percentage of female population age 15+ with no education,4.24,3.35,2.52,1.19,0.24,0.18,0.2,58.7523778,25.3319078
Finland,FIN,Percentage of female population age 15+ with no education,1.17,1.06,0.11,0.45,0.67,0.46,0,63.2467777,25.9209164
