Country,1975,1985,1995,2005,2015,2020,2021
Afghanistan,-44418,-210572,71824,252185,-281739,166821,-183672
Angola,38725,54953,40855,64009,74170,7557,29089
Albania,3922,-27468,-65106,-50855,-12240,-9117,-10612
Andorra,1235,1219,1588,2467,-232,1474,1377
Arab World,461003,-73250,-106482,820217,-194516,-1585167,-458710
United Arab Emirates,39556,35496,64261,339380,-14154,-2762,-2762
Argentina,-5357,31967,-19736,-21961,5522,2344,2344
Armenia,20630,-34757,-50217,-31023,-27283,-12825,-12825
American Samoa,-249,351,-419,-1697,-1629,-1636,-1646
Antigua and Barbuda,-1203,-1302,528,202,60,0,0
Australia,31122,87895,79727,132109,209466,117929,117929
Austria,-24472,5834,1447,50282,115125,20314,20314
Belgium,10637,2743,16528,46280,57008,53428,52356
Bangladesh,-499347,-204954,-374788,-715970,-286512,-61154,-174500
Bulgaria,-12089,-32050,-22495,-3832,-15356,-9902,-8716
Bahrain,6833,4256,7706,53401,29250,-48716,-9150
Belarus,-3446,730,3910,-11902,13681,13589,12961
Belize,-1625,-1476,273,2397,1363,0,577
Bermuda,-339,-43,-72,-80,-315,291,291
Brazil,-7793,-13535,-26337,-42926,4764,56880,20376
Barbados,-1256,-1548,-752,-172,-65,0,-28
Botswana,11741,3298,7808,4771,2145,1816,1816
Canada,130169,39796,137472,204710,232738,195181,195181
Switzerland,-58461,14005,24956,32421,71488,53786,23872
Chile,-30556,-24137,2490,14336,55709,98439,113709
China,-115215,-60932,-625725,-519752,-155379,-33649,-200194
Cameroon,-243,-3597,-12660,-27782,42007,-9889,-9889
Colombia,-84511,-35855,-33016,-41348,-41064,229437,211978
Costa Rica,3081,3631,16607,7022,4065,2084,2084
Cuba,-57074,-18048,-28713,-11973,-14372,-7068,-7068
Cyprus,-4819,3567,11179,13237,4655,2999,1995
Germany,63902,214794,330244,102694,397921,334055,312735
Denmark,4643,3498,14157,11693,22368,23076,22746
Dominican Republic,-13171,-23385,-29610,-30883,-30310,-14966,-14966
Algeria,338533,64927,-28581,-111256,-36371,-18797,-18797
Ecuador,-1206,-3146,-45172,-16816,14740,35894,35894
"Egypt, Arab Rep.",-125141,-199,-31423,-18144,-79150,4476,-32370
Spain,1177,-17354,164507,632974,-871,208791,275022
Estonia,6670,5033,-12803,-5242,4308,2995,2995
Ethiopia,-42567,157474,91538,-44423,62784,38867,-1391
Finland,-3788,2343,4250,9406,12433,17482,14928
France,60976,50391,11505,155943,18807,18335,20614
United Kingdom,-19790,-8661,48732,261300,254218,211063,202027
Georgia,-9606,-15060,-130196,-31214,-13317,-2734,-2734
Greece,21249,66912,69212,-7559,-29315,-17853,-14806
Croatia,-6653,15822,-52246,-3834,-13408,-11592,-10402
Haiti,-18691,-24908,-27130,-26304,-32698,-33872,-32977
Hungary,1861,-16765,16934,16615,14166,9042,19870
Indonesia,56388,37447,-1651,-102380,-37991,-24999,-14992
Isle of Man,999,159,469,684,-231,235,517
India,-225989,-112781,-57139,-550186,-475094,-34772,-301970
Ireland,14124,-15690,10186,64192,13130,15320,15320
Iraq,-6237,-199505,40424,51019,-19490,71539,-60097
Iceland,-367,-628,-1413,3918,1477,2573,622
Israel,6973,34721,50609,13756,12049,16569,16856
Italy,46976,-19940,28851,250910,34031,28021,28021
Jamaica,-18344,-22369,-20084,-18072,-11329,0,-5664
Jordan,-14822,28040,27992,3500,490844,18092,14374
Japan,22942,-8228,38572,153248,150215,87584,87584
Cambodia,-47734,1557,-8706,-11435,-52272,-22308,-24262
St. Kitts and Nevis,-929,-894,143,-222,-191,-191,-90
"Korea, Rep.",-37366,82082,-230292,-36504,266322,0,43440
Kuwait,30911,25773,1693,68878,259114,-254177,-36843
Lebanon,0,-1108,2634,1224,-223722,-115146,-115122
Liberia,2038,7482,54372,101019,-15195,-10119,-11862
Libya,43437,11961,-5066,41035,-7660,-696,-696
