Country,1975,1985,1995,2005,2015,2020,2021
Aruba,-281,-746,1598,579,177,0,501
Africa Eastern and Southern,67213,156794,-243945,-357877,394925,-48955,-179444
Afghanistan,-44418,-210572,71824,252185,-281739,166821,-183672
Africa Western and Central,-4921,-284607,10350,-137920,-360393,-99761,-264802
Angola,38725,54953,40855,64009,74170,7557,29089
Albania,3922,-27468,-65106,-50855,-12240,-9117,-10612
Andorra,1235,1219,1588,2467,-232,1474,1377
Arab World,461003,-73250,-106482,820217,-194516,-1585167,-458710
United Arab Emirates,39556,35496,64261,339380,-14154,-2762,-2762
Argentina,-5357,31967,-19736,-21961,5522,2344,2344
Armenia,20630,-34757,-50217,-31023,-27283,-12825,-12825
American Samoa,-249,351,-419,-1697,-1629,-1636,-1646
Antigua and Barbuda,-1203,-1302,528,202,60,0,0
Australia,31122,87895,79727,132109,209466,117929,117929
Austria,-24472,5834,1447,50282,115125,20314,20314
Azerbaijan,-10012,-27358,-37975,16436,1084,1084,1084
Burundi,-20706,-66680,-84698,17913,-236447,-10186,-14415
Belgium,10637,2743,16528,46280,57008,53428,52356
Benin,-4600,-1965,-45474,30492,3366,1732,1732
Burkina Faso,-30577,-16650,-39033,9794,-19754,-5665,-13097
Bangladesh,-499347,-204954,-374788,-715970,-286512,-61154,-174500
Bulgaria,-12089,-32050,-22495,-3832,-15356,-9902,-8716
Bahrain,6833,4256,7706,53401,29250,-48716,-9150
"Bahamas, The",323,470,463,800,1001,0,485
Bosnia and Herzegovina,-12973,-11430,126915,-37107,-33976,-26857,-25865
Belarus,-3446,730,3910,-11902,13681,13589,12961
Belize,-1625,-1476,273,2397,1363,0,577
Bermuda,-339,-43,-72,-80,-315,291,291
Bolivia,-6426,-17558,-23615,-14657,-10525,-4666,-4666
Brazil,-7793,-13535,-26337,-42926,4764,56880,20376
Barbados,-1256,-1548,-752,-172,-65,0,-28
Brunei Darussalam,744,1816,1356,1163,-485,-395,-192
Bhutan,2700,1696,-1497,1779,-1171,291,291
Botswana,11741,3298,7808,4771,2145,1816,1816
Central African Republic,-9904,-46428,-12995,-13609,-63213,-24803,-85860
Canada,130169,39796,137472,204710,232738,195181,195181
Central Europe and the Baltics,35146,-62594,-229798,-167658,-99535,-29918,-20678
Switzerland,-58461,14005,24956,32421,71488,53786,23872
Channel Islands,852,1135,-375,817,1396,1362,1242
Chile,-30556,-24137,2490,14336,55709,98439,113709
China,-115215,-60932,-625725,-519752,-155379,-33649,-200194
Cote d'Ivoire,79765,-4006,66455,-117468,-21498,-12301,-21000
Cameroon,-243,-3597,-12660,-27782,42007,-9889,-9889
"Congo, Dem. Rep.",-981,17496,-273443,20379,47831,-1643,-64643
"Congo, Rep.",-10299,192,3746,38337,-18219,-4465,-4466
Colombia,-84511,-35855,-33016,-41348,-41064,229437,211978
